Niche,Warehouse_Source,Country,Tender_Count,Unique_Buyers,Median_Lean_Fit
Website design / redesign,TED,CHE,54,1,88.0
Digital marketing / SEO / campaigns,TED,ROU,54,1,20.0
E-learning / training content,Belgium,BE,53,42,
Transcription / minutes,TED,ITA,53,1,90.0
CMS development / migration,TED,FIN,53,2,60.0
Website design / redesign,TED,POL,52,2,88.0
Transcription / minutes,Ireland,Ireland,52,23,88.0
Translation / localization,TED,NOR,51,2,20.0
Brochure / flyer / poster printing,TED,EST,51,1,66.0
CMS development / migration,Belgium,BE,50,39,
Document digitization / scanning,TED,ITA,50,3,92.0
Signage / wayfinding / vinyl,TED,LUX,49,1,20.0
Workflow automation / RPA,Germany,Germany,49,18,74.0
Brochure / flyer / poster printing,Canada federal,Canada,48,17,80.0
Digital marketing / SEO / campaigns,United Kingdom,United Kingdom,48,40,15.0
E-learning / training content,France,France,48,40,15.0
CMS development / migration,Germany,Germany,47,6,60.0
Proofreading / editing,Quebec,Canada - Quebec,47,24,90.0
Web hosting / domain / SSL,TED,DNK,46,2,74.0
Graphic design / layout,Ireland,Ireland,46,41,80.0
Social media content production,Germany,Germany,44,10,82.0
Website design / redesign,TED,DNK,44,2,88.0
Brochure / flyer / poster printing,TED,CHE,44,1,66.0
E-learning / training content,Quebec,Canada - Quebec,44,32,74.0
Brochure / flyer / poster printing,TED,POL,44,2,66.0
Direct mail / envelope / routing,France,France,43,35,82.0
Small IT equipment supply,TED,DNK,42,1,74.0
Transcription / minutes,TED,LUX,42,1,90.0
Web accessibility remediation,TED,POL,42,3,60.0
Brochure / flyer / poster printing,TED,ITA,42,2,66.0
Online forms / lightweight portals,TED,FIN,42,2,74.0
Website design / redesign,TED,CZE,41,2,88.0
E-learning / training content,TED,NOR,41,2,60.0
Interpretation services,Belgium,BE,41,37,
Transcription / minutes,TED,RO,40,20,90.0
Simple API / software integration,Quebec,Canada - Quebec,40,28,74.0
Transcription / minutes,TED,ES,40,30,90.0
Translation / localization,Quebec,Canada - Quebec,40,33,15.0
Brochure / flyer / poster printing,TED,LTU,40,1,66.0
Online forms / lightweight portals,TED,DNK,40,2,74.0
Website design / redesign,TED,ESP,39,2,88.0
Photography,United Kingdom,United Kingdom,39,35,15.0
Brand identity / visual identity,France,France,39,37,82.0
Photography,France,France,39,35,15.0
Web hosting / domain / SSL,TED,ESP,39,2,60.0
Graphic design / layout,TED,NOR,39,2,82.0
Labels / stickers / QR materials,United Kingdom,United Kingdom,38,30,15.0
Digital marketing / SEO / campaigns,Germany,Germany,38,6,15.0
Photography,Ireland,Ireland,37,21,15.0
Workflow automation / RPA,TED,ESP,37,1,74.0
Document digitization / scanning,TED,NO,37,26,92.0
Brochure / flyer / poster printing,TED,AUT,37,19,66.0
Simple API / software integration,United Kingdom,United Kingdom,36,28,15.0
Document digitization / scanning,TED,LUX,35,1,92.0
Online forms / lightweight portals,TED,ES,35,32,60.0
E-learning / training content,Ireland,Ireland,35,25,15.0
Document digitization / scanning,Belgium,BE,34,26,
Website design / redesign,TED,ROU,34,2,88.0
Video production,Quebec,Canada - Quebec,33,24,82.0
Brochure / flyer / poster printing,TED,FIN,33,2,66.0
Brochure / flyer / poster printing,TED,CZE,33,3,66.0
Web hosting / domain / SSL,Ireland,Ireland,33,21,60.0
Labels / stickers / QR materials,Germany,Germany,33,4,15.0
Proofreading / editing,Germany,Germany,33,8,90.0
Office / presentation equipment supply,United Kingdom,United Kingdom,33,30,15.0
Transcription / minutes,TED,FIN,32,2,90.0
Low-code / no-code implementation,TED,ESP,32,3,60.0
Illustration / infographics,Quebec,Canada - Quebec,32,21,82.0
Small IT equipment supply,TED,HU,32,27,20.0
Website design / redesign,TED,ITA,32,2,88.0
Website design / redesign,TED,FIN,32,2,88.0
Website design / redesign,TED,NO,32,27,88.0
Document digitization / scanning,TED,SE,31,24,92.0
Transcription / minutes,TED,HRV,31,1,90.0
Website maintenance / content updates,Belgium,BE,31,22,
Small IT equipment supply,TED,LVA,31,1,20.0
Online forms / lightweight portals,TED,AUT,30,14,40.0
AI chatbot / assistant,Germany,Germany,30,6,60.0
Transcription / minutes,TED,CZE,30,2,90.0
Web accessibility remediation,France,France,30,28,15.0
Document digitization / scanning,TED,RO,29,23,92.0
Web hosting / domain / SSL,TED,LUX,29,1,74.0
Small IT equipment supply,TED,FIN,29,2,70.0
Website design / redesign,TED,SWE,29,1,88.0
Website design / redesign,TED,LUX,29,1,88.0
Social media content production,United Kingdom,United Kingdom,29,27,15.0
Web hosting / domain / SSL,France,France,29,28,15.0
Document digitization / scanning,TED,CZE,28,2,92.0
Small IT equipment supply,TED,IT,28,25,20.0
Transcription / minutes,TED,PRT,28,1,90.0
Signage / wayfinding / vinyl,TED,NOR,28,1,20.0
E-learning / training content,TED,ESP,27,2,70.0
Transcription / minutes,TED,SWE,26,1,90.0
Online forms / lightweight portals,TED,RO,26,24,74.0
Document digitization / scanning,TED,IT,26,21,92.0
Brand identity / visual identity,United Kingdom,United Kingdom,26,23,15.0
Graphic design / layout,United Kingdom,United Kingdom,25,23,80.0
Document digitization / scanning,TED,POL,25,2,92.0
Labels / stickers / QR materials,TED,NOR,25,1,20.0
Brochure / flyer / poster printing,TED,HUN,25,4,66.0
Online forms / lightweight portals,TED,SWE,25,1,60.0
Office / presentation equipment supply,Ireland,Ireland,24,21,15.0
Website maintenance / content updates,United Kingdom,United Kingdom,24,21,15.0
Small IT equipment supply,TED,MKD,24,2,20.0
Document digitization / scanning,TED,ESP,24,1,92.0
Simple API / software integration,Belgium,BE,24,21,
Copywriting / editorial content,United Kingdom,United Kingdom,24,21,72.0
Web hosting / domain / SSL,TED,ITA,24,1,60.0
Small IT equipment supply,TED,MLT,23,2,20.0
Document digitization / scanning,TED,MLT,23,2,92.0
Workflow automation / RPA,United Kingdom,United Kingdom,23,18,72.0
Data cleaning / deduplication,TED,NOR,23,2,60.0
Data entry / back-office processing,TED,ITA,22,1,60.0
Online forms / lightweight portals,TED,CHE,22,1,60.0
Brand identity / visual identity,TED,NOR,22,2,82.0
Transcription / minutes,Belgium,BE,21,16,
Document digitization / scanning,TED,AT,21,21,92.0
Brochure / flyer / poster printing,TED,NO,21,19,66.0
Simple API / software integration,TED,SVK,21,1,20.0
CMS development / migration,France,France,21,19,15.0
CMS development / migration,United Kingdom,United Kingdom,21,18,60.0
Online forms / lightweight portals,TED,SVN,21,1,60.0
Signage / wayfinding / vinyl,Germany,Germany,21,7,60.0
Digital marketing / SEO / campaigns,Belgium,BE,20,16,
Brochure / flyer / poster printing,TED,PRT,20,2,66.0
Signage / wayfinding / vinyl,TenderNed,Netherlands,19,14,20.0
Small IT equipment supply,TED,GRC,19,3,20.0
Brochure / flyer / poster printing,TED,LUX,19,1,66.0
Digital marketing / SEO / campaigns,Ireland,Ireland,19,13,15.0
E-learning / training content,TED,ITA,19,2,60.0
Transcription / minutes,TED,AUT,19,8,90.0
Brochure / flyer / poster printing,TED,MKD,18,1,66.0
Promotional merchandise / branded items,United Kingdom,United Kingdom,18,18,15.0
Online forms / lightweight portals,TED,HUN,18,1,20.0
Signage / wayfinding / vinyl,TED,LU,18,11,20.0
Transcription / minutes,TED,NO,18,15,90.0
Low-code / no-code implementation,TED,PRT,18,2,60.0
Web hosting / domain / SSL,TED,AUT,18,13,74.0
Photography,Quebec,Canada - Quebec,18,15,82.0
Document digitization / scanning,TED,HUN,18,3,92.0
Video production,United Kingdom,United Kingdom,18,17,15.0
Photography,Canada federal,Canada,18,10,15.0
E-learning / training content,TED,ROU,18,1,74.0
Online forms / lightweight portals,Belgium,BE,18,16,
Workflow automation / RPA,TED,CZE,18,2,20.0
Photography,Belgium,BE,18,13,
Workflow automation / RPA,TED,POL,17,2,20.0
Brochure / flyer / poster printing,TED,GRC,17,3,66.0
Simple API / software integration,TED,DNK,17,1,74.0
Interpretation services,TED,SWE,17,1,20.0
Photography,TED,NOR,17,2,20.0
Website design / redesign,TED,PRT,17,1,88.0
Simple API / software integration,France,France,17,15,74.0
Online survey setup,United Kingdom,United Kingdom,17,16,15.0
Website maintenance / content updates,Quebec,Canada - Quebec,17,12,82.0
Low-code / no-code implementation,Belgium,BE,17,16,
Promotional merchandise / branded items,Ireland,Ireland,16,15,15.0
Website design / redesign,TED,IT,16,8,88.0
Workflow automation / RPA,Belgium,BE,16,10,
Digital marketing / SEO / campaigns,TED,CHE,16,1,60.0
CMS development / migration,TED,ESP,16,1,60.0
Transcription / minutes,TED,CHE,16,1,90.0
Newsletter / magazine production,Germany,Germany,16,1,15.0
Social media content production,TED,POL,16,2,63.0
Online forms / lightweight portals,TED,NO,16,12,70.0
Website design / redesign,TED,ISL,16,1,88.0
Illustration / infographics,France,France,16,13,15.0
Annual report / publication layout,Belgium,BE,15,14,
Event audiovisual / livestream,Germany,Germany,15,4,60.0
Digital marketing / SEO / campaigns,Quebec,Canada - Quebec,15,8,82.0
Web hosting / domain / SSL,TED,CZE,15,1,60.0
Online forms / lightweight portals,TED,PT,15,10,60.0
Video production,France,France,15,14,82.0
E-learning / training content,TenderNed,Netherlands,15,14,74.0
Small IT equipment supply,TED,CHE,15,1,20.0
Small IT equipment supply,TED,BGR,15,1,82.0
Labels / stickers / QR materials,TenderNed,Netherlands,15,11,20.0
Web hosting / domain / SSL,TED,CHE,15,1,74.0
Direct mail / envelope / routing,Belgium,BE,15,14,
Low-code / no-code implementation,Germany,Germany,15,8,74.0
Brochure / flyer / poster printing,TED,BGR,15,1,66.0
Online forms / lightweight portals,TED,CZE,15,1,60.0
AI chatbot / assistant,TED,ESP,14,2,60.0
Transcription / minutes,TED,DNK,14,1,90.0
Brochure / flyer / poster printing,TED,HRV,14,1,66.0
Web hosting / domain / SSL,TED,FIN,14,2,74.0
Transcription / minutes,TED,MLT,14,2,90.0
CMS development / migration,Quebec,Canada - Quebec,14,10,82.0
Online forms / lightweight portals,TED,ITA,14,1,60.0
Online forms / lightweight portals,TED,LTU,14,1,60.0
Translation / localization,Germany,Germany,14,4,15.0
Voice-over / narration / audio editing,Germany,Germany,14,3,82.0
Small IT equipment supply,TED,LUX,14,1,20.0
Small IT equipment supply,TED,AUT,14,5,47.0
Website design / redesign,TED,AT,14,9,88.0
Small IT equipment supply,TED,SVK,14,1,40.0
Online forms / lightweight portals,TED,HRV,14,1,60.0
Online forms / lightweight portals,Quebec,Canada - Quebec,14,10,82.0
Illustration / infographics,Belgium,BE,14,13,
Copywriting / editorial content,TED,CHE,13,1,20.0
Online forms / lightweight portals,TED,BGR,13,1,60.0
Video production,TED,NOR,13,1,82.0
AI chatbot / assistant,TED,FIN,13,2,60.0
Video editing / post-production,France,France,13,13,82.0
Signage / wayfinding / vinyl,Canada federal,Canada,13,9,15.0
Small IT equipment supply,TED,PRT,13,1,20.0
Direct mail / envelope / routing,United Kingdom,United Kingdom,12,10,15.0
Online forms / lightweight portals,Canada federal,Canada,12,9,15.0
Labels / stickers / QR materials,France,France,12,12,15.0
Translation / localization,United Kingdom,United Kingdom,12,9,15.0
E-learning / training content,TED,HUN,12,3,40.0
Copywriting / editorial content,Germany,Germany,12,1,15.0
Office / presentation equipment supply,Canada federal,Canada,12,3,15.0
Video production,Canada federal,Canada,12,5,15.0
Small IT equipment supply,TED,NO,12,11,20.0
Social media content production,TED,ITA,12,2,82.0
Interpretation services,Ireland,Ireland,12,10,15.0
Brand identity / visual identity,Ireland,Ireland,12,11,15.0
Simple API / software integration,TED,ITA,12,1,60.0
Video production,Belgium,BE,12,9,
Low-code / no-code implementation,TED,FIN,12,2,20.0
Labels / stickers / QR materials,Canada federal,Canada,12,6,15.0
Presentation / template design,Belgium,BE,12,12,
Brochure / flyer / poster printing,TED,LVA,12,1,66.0
Desk research / information collection,United Kingdom,United Kingdom,12,11,15.0
Graphic design / layout,TED,CZE,12,2,20.0
Document digitization / scanning,TED,FI,11,9,92.0
Translation / localization,TenderNed,Netherlands,11,10,92.0
Proofreading / editing,TED,NOR,11,1,90.0
Promotional merchandise / branded items,Germany,Germany,11,4,15.0
Document digitization / scanning,TED,UKR,11,1,92.0
Presentation / template design,TED,FIN,11,2,74.0
Graphic design / layout,Canada federal,Canada,11,10,80.0
Document digitization / scanning,TED,DK,11,10,92.0
Online survey setup,TenderNed,Netherlands,11,5,74.0
Low-code / no-code implementation,TED,POL,11,1,74.0
Data cleaning / deduplication,United Kingdom,United Kingdom,11,11,60.0
Web hosting / domain / SSL,Canada federal,Canada,11,4,15.0
Social media content production,TED,BGR,11,1,20.0
Online forms / lightweight portals,TED,MKD,11,1,74.0
Proofreading / editing,Belgium,BE,11,9,
Brand identity / visual identity,TED,ITA,11,2,20.0
E-learning / training content,Canada federal,Canada,11,9,72.0
Brochure / flyer / poster printing,TED,DK,10,8,66.0
Video production,Ireland,Ireland,10,10,15.0
Animation / motion design,France,France,10,9,82.0
Online forms / lightweight portals,TED,IS,10,4,20.0
Digital marketing / SEO / campaigns,TED,POL,10,2,82.0
Video editing / post-production,Quebec,Canada - Quebec,10,7,78.0
Low-code / no-code implementation,Quebec,Canada - Quebec,10,8,82.0
Web hosting / domain / SSL,TED,SWE,10,1,60.0
Brochure / flyer / poster printing,TED,SE,10,9,66.0
Brochure / flyer / poster printing,TED,CZ,10,6,66.0
Low-code / no-code implementation,United Kingdom,United Kingdom,10,9,66.0
Website maintenance / content updates,TED,NOR,10,1,65.0
Simple API / software integration,TED,NOR,10,1,74.0
Document digitization / scanning,TED,MKD,10,1,92.0
Document digitization / scanning,TED,EST,10,1,92.0
Website design / redesign,TED,MLT,10,2,88.0
Workflow automation / RPA,TED,NOR,10,2,74.0
Small IT equipment supply,TED,ES,10,9,20.0
Translation / localization,TED,CHE,10,1,20.0
Signage / wayfinding / vinyl,TED,DNK,10,2,20.0
Workflow automation / RPA,France,France,10,7,15.0
Web hosting / domain / SSL,TED,POL,10,1,60.0
Workflow automation / RPA,TenderNed,Netherlands,10,6,70.0
Document digitization / scanning,Ireland,Ireland,10,9,90.0
Low-code / no-code implementation,TenderNed,Netherlands,10,9,74.0
Illustration / infographics,Germany,Germany,10,1,15.0
Small IT equipment supply,TED,SWE,9,1,70.0
Social media content production,Ireland,Ireland,9,7,15.0
Translation / localization,TED,LUX,9,1,20.0
Annual report / publication layout,TED,NOR,9,1,20.0
Small IT equipment supply,TED,SVN,9,1,20.0
Small IT equipment supply,TED,MK,9,6,20.0
AI chatbot / assistant,TED,POL,9,2,60.0
Workflow automation / RPA,TED,LVA,9,1,20.0
Office / presentation equipment supply,TED,NOR,9,2,20.0
Brand identity / visual identity,TED,ESP,9,1,20.0
Website maintenance / content updates,TED,POL,9,1,82.0
Direct mail / envelope / routing,Quebec,Canada - Quebec,9,3,15.0
Data entry / back-office processing,TED,NOR,9,1,20.0
Web hosting / domain / SSL,TED,HUN,9,2,60.0
AI chatbot / assistant,United Kingdom,United Kingdom,9,7,15.0
Presentation / template design,TED,EST,9,1,20.0
Workflow automation / RPA,TED,HUN,8,2,20.0
Workflow automation / RPA,TED,ES,8,8,74.0
Social media content production,Quebec,Canada - Quebec,8,8,82.0
Document digitization / scanning,TED,MT,8,2,92.0
Desk research / information collection,TED,POL,8,1,20.0
Web hosting / domain / SSL,TED,ROU,8,2,78.0
Signage / wayfinding / vinyl,TED,POL,8,2,72.0
E-learning / training content,TED,PRT,8,1,60.0
Web hosting / domain / SSL,TED,NOR,8,2,76.0
Low-code / no-code implementation,TED,AUT,8,7,60.0
Transcription / minutes,TED,SVN,8,1,90.0
Cataloguing / indexing / metadata,France,France,8,8,44.5
Web hosting / domain / SSL,Quebec,Canada - Quebec,8,6,82.0
Proofreading / editing,France,France,8,7,90.0
Brochure / flyer / poster printing,TED,TUR,8,1,66.0
Copywriting / editorial content,TED,LUX,8,1,20.0
Brochure / flyer / poster printing,TED,ESP,8,1,66.0
CMS development / migration,TED,SWE,8,1,60.0
Document digitization / scanning,TED,LTU,8,1,92.0
Copywriting / editorial content,Ireland,Ireland,8,8,15.0
Document digitization / scanning,TED,LIE,8,8,92.0
Document digitization / scanning,TED,PRT,8,1,92.0
Brand identity / visual identity,TED,AUT,8,7,20.0
Brochure / flyer / poster printing,TED,PT,8,6,66.0
Data entry / back-office processing,Canada federal,Canada,8,5,90.0
Workflow automation / RPA,TED,FIN,8,2,74.0
Workflow automation / RPA,TED,ROU,8,2,74.0
Brand identity / visual identity,TED,CHE,8,1,20.0
Brochure / flyer / poster printing,TED,BG,8,4,66.0
Data cleaning / deduplication,TenderNed,Netherlands,8,3,74.0
AI chatbot / assistant,Belgium,BE,7,6,
Labels / stickers / QR materials,TED,CHE,7,1,20.0
Transcription / minutes,TED,PL,7,5,90.0
Simple API / software integration,TED,FIN,7,2,82.0
Interpretation services,United Kingdom,United Kingdom,7,5,15.0
AI chatbot / assistant,France,France,7,7,15.0
Brochure / flyer / poster printing,TED,AT,7,6,66.0
Brochure / flyer / poster printing,TED,MK,7,4,66.0
Promotional merchandise / branded items,Belgium,BE,7,6,
Small IT equipment supply,TED,MT,7,1,20.0
Document digitization / scanning,TED,SVN,7,1,92.0
Web hosting / domain / SSL,TED,ISL,7,1,60.0
Illustration / infographics,TenderNed,Netherlands,7,3,82.0
Simple API / software integration,TED,CZ,7,4,20.0
Annual report / publication layout,France,France,7,7,82.0
AI chatbot / assistant,TED,ROU,7,1,82.0
Brand identity / visual identity,Quebec,Canada - Quebec,7,7,82.0
Simple API / software integration,Germany,Germany,7,3,60.0
Newsletter / magazine production,Belgium,BE,7,6,
Document digitization / scanning,TED,CYP,7,1,92.0
Small IT equipment supply,TED,GR,7,5,20.0
Online survey setup,Belgium,BE,7,5,
Brochure / flyer / poster printing,TED,IT,7,7,66.0
Small IT equipment supply,TED,BRB,7,1,74.0
Data cleaning / deduplication,TED,DNK,7,1,60.0
Data entry / back-office processing,United Kingdom,United Kingdom,7,6,60.0
Brand identity / visual identity,TED,POL,7,1,20.0
E-learning / training content,TED,NO,7,5,20.0
Social media content production,TED,HUN,7,4,20.0
Document digitization / scanning,TED,BGR,7,1,92.0
Social media content production,TED,ESP,7,1,20.0
AI chatbot / assistant,TED,NOR,7,1,60.0
Brochure / flyer / poster printing,TED,LU,7,5,66.0
Digital marketing / SEO / campaigns,TenderNed,Netherlands,7,6,82.0
Subtitles / captions,Belgium,BE,6,5,
Cataloguing / indexing / metadata,TED,NOR,6,1,20.0
Social media content production,TED,FIN,6,2,71.0
Annual report / publication layout,United Kingdom,United Kingdom,6,6,80.0
Transcription / minutes,TED,SE,6,4,90.0
Document digitization / scanning,TED,ISL,6,1,92.0
Brand identity / visual identity,TED,DNK,6,2,20.0
Data entry / back-office processing,France,France,6,6,92.0
Newsletter / magazine production,TED,ESP,6,2,20.0
Promotional merchandise / branded items,TenderNed,Netherlands,6,4,20.0
Social media content production,TED,CZE,6,1,20.0
Small IT equipment supply,TED,BIH,6,1,20.0
E-learning / training content,TED,ES,6,6,60.0
Social media content production,TED,SWE,6,1,78.0
Simple API / software integration,TenderNed,Netherlands,6,4,72.0
Graphic design / layout,TED,LUX,6,1,82.0
Website maintenance / content updates,TED,ITA,6,1,47.0
Online forms / lightweight portals,TED,MLT,6,2,74.0
Low-code / no-code implementation,TED,NOR,6,2,78.0
Desk research / information collection,Belgium,BE,6,4,
Graphic design / layout,TED,DNK,6,1,74.0
Workflow automation / RPA,TED,SWE,6,1,74.0
Website design / redesign,TED,RO,6,6,88.0
Transcription / minutes,TED,IT,6,6,90.0
Data entry / back-office processing,TED,MLT,6,1,20.0
Voice-over / narration / audio editing,Belgium,BE,6,6,
Data entry / back-office processing,Quebec,Canada - Quebec,6,5,92.0
Transcription / minutes,TED,PT,6,6,90.0
Data entry / back-office processing,Ireland,Ireland,6,5,37.5
Website design / redesign,TED,SE,6,5,88.0
Simple API / software integration,TED,CHE,6,1,60.0
Desk research / information collection,Quebec,Canada - Quebec,5,3,15.0
Presentation / template design,TED,NOR,5,1,82.0
Simple API / software integration,Canada federal,Canada,5,4,15.0
Illustration / infographics,TED,NOR,5,1,82.0
Copywriting / editorial content,TenderNed,Netherlands,5,4,82.0
Low-code / no-code implementation,France,France,5,4,15.0
Graphic design / layout,TED,POL,5,2,20.0
Workflow automation / RPA,TED,ITA,5,1,20.0
E-learning / training content,TED,POL,5,1,74.0
AI chatbot / assistant,TenderNed,Netherlands,5,3,74.0
Illustration / infographics,United Kingdom,United Kingdom,5,5,15.0
Data entry / back-office processing,TED,IT,5,4,60.0
Interpretation services,TED,SE,5,5,20.0
Brochure / flyer / poster printing,TED,PL,5,5,66.0
Voice-over / narration / audio editing,United Kingdom,United Kingdom,5,5,15.0
CMS development / migration,Canada federal,Canada,5,5,15.0
Simple API / software integration,TED,LUX,5,1,20.0
Promotional merchandise / branded items,TED,DNK,5,1,20.0
Website maintenance / content updates,TED,LUX,5,1,60.0
Signage / wayfinding / vinyl,TED,HUN,5,2,74.0
Simple API / software integration,TED,MKD,5,1,74.0
Document digitization / scanning,TED,HRV,5,1,92.0
Digital marketing / SEO / campaigns,TED,ES,5,5,20.0
Presentation / template design,Germany,Germany,5,1,15.0
Small IT equipment supply,TED,UKR,5,1,82.0
Transcription / minutes,TED,HR,5,5,90.0
Proofreading / editing,Canada federal,Canada,5,4,88.0
Online forms / lightweight portals,TED,SVK,5,1,20.0
Social media content production,TED,SVN,5,1,20.0
Graphic design / layout,TED,CZ,5,2,20.0
Web hosting / domain / SSL,TED,ES,5,5,60.0
Web accessibility remediation,TED,NOR,5,1,60.0
Annual report / publication layout,Quebec,Canada - Quebec,5,5,15.0
Online forms / lightweight portals,TED,LUX,5,1,70.0
Online forms / lightweight portals,TED,SE,5,4,60.0
Social media content production,TenderNed,Netherlands,5,4,82.0
Web accessibility remediation,TenderNed,Netherlands,5,4,60.0
E-learning / training content,TED,SWE,5,1,60.0
Web accessibility remediation,Belgium,BE,5,4,
